Disease,Medication
Hypothyroidism,Corticosteroids
Hyperthyroidism,Glucose tablets
Hyperthyroidism,Candy or juice
Hyperthyroidism,Glucagon injection
Hyperthyroidism,IV dextrose
Hyperthyroidism,Diazoxide
Hypoglycemia,Pain relievers
Hypoglycemia,Exercise
Hypoglycemia,Hot and cold packs
Hypoglycemia,Joint protection
Hypoglycemia,Physical therapy
Osteoarthristis,NSAIDs
Osteoarthristis,Disease-modifying antirheumatic drugs (DMARDs)
Osteoarthristis,Biologics
Osteoarthristis,Corticosteroids
Osteoarthristis,Joint replacement surgery
Arthritis,Vestibular rehabilitation
Arthritis,Canalith repositioning
Arthritis,Medications for nausea
Arthritis,Surgery
Arthritis,Home exercises
(vertigo) Paroymsal Positional Vertigo,Topical treatments
(vertigo) Paroymsal Positional Vertigo,Antibiotics
(vertigo) Paroymsal Positional Vertigo,Oral medications
(vertigo) Paroymsal Positional Vertigo,Hormonal treatments
(vertigo) Paroymsal Positional Vertigo,Isotretinoin
Acne,Antibiotics
Acne,Pain relievers
Acne,Antihistamines
Acne,Corticosteroids
Acne,Topical treatments
Urinary tract infection,Antibiotics
Urinary tract infection,Urinary analgesics
Urinary tract infection,Phenazopyridine
Urinary tract infection,Antispasmodics
Urinary tract infection,Probiotics
Psoriasis,Topical treatments
Psoriasis,Phototherapy
Psoriasis,Systemic medications
Psoriasis,Biologics
Psoriasis,Coal tar
Impetigo,Topical antibiotics
Impetigo,Oral antibiotics
Impetigo,Antiseptics
Impetigo,Ointments
Impetigo,Warm compresses
