Disease,Diet
Alcoholic hepatitis,Fruits and vegetables
Alcoholic hepatitis,Whole grains
Alcoholic hepatitis,Lean proteins
Tuberculosis,TB Diet
Tuberculosis,High-Calorie Diet
Tuberculosis,Soft and bland foods
Tuberculosis,Hydration
Tuberculosis,Protein-rich foods
Common Cold,Cold Diet
Common Cold,Hydration
Common Cold,Warm fluids
Common Cold,Rest
Common Cold,Honey and lemon tea
Pneumonia,Pneumonia Diet
Pneumonia,High-Calorie Diet
Pneumonia,Soft and bland foods
Pneumonia,Hydration
Pneumonia,Protein-rich foods
Dimorphic hemmorhoids(piles),Hemorrhoids Diet
Dimorphic hemmorhoids(piles),High-Fiber Diet
Dimorphic hemmorhoids(piles),Hydration
Dimorphic hemmorhoids(piles),Warm baths
Dimorphic hemmorhoids(piles),Stool softeners
Heart attack,Heart-Healthy Diet
Heart attack,Low-sodium foods
Heart attack,Fruits and vegetables
Heart attack,Whole grains
Heart attack,Lean proteins
Varicose veins,Varicose Veins Diet
Varicose veins,High-Fiber Diet
Varicose veins,Fruits and vegetables
Varicose veins,Whole grains
Varicose veins,Low-sodium foods
Hypothyroidism,Hypothyroidism Diet
Hypothyroidism,Iodine-rich foods
Hypothyroidism,Selenium-rich foods
Hypothyroidism,Fruits and vegetables
Hypothyroidism,Whole grains
Hyperthyroidism,Hyperthyroidism Diet
Hyperthyroidism,Low-Iodine Diet
Hyperthyroidism,Calcium-rich foods
Hyperthyroidism,Selenium-rich foods
Hyperthyroidism,Fruits and vegetables
Hypoglycemia,Hypoglycemia Diet
Hypoglycemia,Complex carbohydrates
Hypoglycemia,Protein-rich snacks
Hypoglycemia,Fiber-rich foods
Hypoglycemia,Healthy fats
Osteoarthristis,Arthritis Diet
Osteoarthristis,Anti-Inflammatory Diet
Osteoarthristis,Omega-3-rich foods
Osteoarthristis,Fruits and vegetables
Osteoarthristis,Whole grains
Arthritis,Arthritis Diet
Arthritis,Anti-Inflammatory Diet
Arthritis,Omega-3-rich foods
Arthritis,Fruits and vegetables
Arthritis,Whole grains
(vertigo) Paroymsal Positional Vertigo,Vertigo Diet
(vertigo) Paroymsal Positional Vertigo,Low-Salt Diet
(vertigo) Paroymsal Positional Vertigo,Hydration
(vertigo) Paroymsal Positional Vertigo,Ginger tea
(vertigo) Paroymsal Positional Vertigo,Vitamin D-rich foods
Acne,Acne Diet
Acne,Low-Glycemic Diet
Acne,Hydration
Acne,Fruits and vegetables
Acne,Probiotics
Urinary tract infection,UTI Diet
Urinary tract infection,Hydration
Urinary tract infection,Cranberry juice
Urinary tract infection,Probiotics
Urinary tract infection,Vitamin C-rich foods
Psoriasis,Psoriasis Diet
Psoriasis,Anti-Inflammatory Diet
Psoriasis,Omega-3-rich foods
Psoriasis,Fruits and vegetables
Psoriasis,Whole grains
Impetigo,Impetigo Diet
Impetigo,Antibiotic treatment
Impetigo,Fruits and vegetables
Impetigo,Hydration
Impetigo,Protein-rich foods
